ID,Capture method,Name,State,Site,Latitude,Longitude,Date,Ambient temp,Sex,Female breeding condition ,Mass (kg),Mass estimated,Body condition score,Stress level ,Drug(s),Dose: Zoletil (mL),Dose: Zoletil (mg/kg),Dose: Xylazine (mL),Dose: yohimbine (mg),Dose: yohimbine (mg/kg),Dose:atipamezole (mg),Dose:atipamezole (mg/kg),Drug admin site,induction_min,Depth Of Anaesthesia,Temp_body,Hyperthermia (Y/N),Respiratory rate ,Respiratory depth ,Heart rate ,Time of restraint,Time of release,Handling duration (min),Time standing,Recovery duration (min:sec),NA,Notes on recovery,Reversal time (min),Total duration (min:sec),Total duration (min),Injury,Injury type,n_in_trap,tags_in_trap,last_usable_fix,collar_in_hand,death_date,mortality,Collar end date,CaptureNAdeath duration,fate,collar_slip,notes_on_collar_recovery,notes_on_capture,Collar data
AB60,Manual,NA,NSW,nimmie,-34.526294,144.024585,16/03/2021 10:10,na,f,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7,N,NA,NA,NA,16/03/2021 10:14,16/03/2021 10:26,12,NA,NA,NA,NA,NA,0:16:00,16,0,NA,5,NA,8/10/2021 10:00,NA,9/10/2021,9/10/2021 0:00,NA,206.58,dead_unknown,NA,NA,NA,NA
AB61,Manual,NA,NSW,booligal,-33.813824,144.73832,21/10/2021 9:20,19.5,f,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,N,NA,NA,NA,21/10/2021 9:33,21/10/2021 9:37,4.08,NA,NA,NA,NA,NA,0:17:50,17.83,0,NA,8,NA,23/05/2022 0:00,NA,23/05/2022,23/05/2022 15:00,NA,214.24,dead_unknown,NA,NA,NA,NA
AB62,Manual,NA,NSW,nimmie,-34.515762,144.024655,17/03/2021 9:45,na,f,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,N,NA,NA,NA,17/03/2021 9:49,17/03/2021 10:04,15.07,NA,NA,NA,NA,NA,0:19:23,19.38,0,NA,5,NA,21/06/2022 18:00,NA,22/06/2022,22/06/2022 9:00,NA,461.97,dead_shotaerial,NA,NA,NA,NA
AB63,Manual,NA,NSW,willowtree,-31.800267,150.51079,19/12/2022 6:10,13,m,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,N,NA,NA,NA,19/12/2022 6:42,19/12/2022 6:47,5.42,NA,NA,NA,NA,NA,0:37:40,37.67,0,NA,5,NA,16/06/2023 2:03,NA,NA,NA,NA,NA,unknown,NA,NA,NA,NA
AB64,Manual,NA,NSW,napnap,-34.499612,144.21579,17/03/2021 7:45,na,f,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,Y,NA,NA,NA,17/03/2021 7:45,17/03/2021 7:53,7.62,NA,NA,NA,NA,NA,0:08:33,8.55,0,NA,6,NA,NA,NA,19/11/2021,19/11/2021 0:00,NA,246.68,dead_unknown,NA,NA,NA,NA
AB65,Manual,NA,NSW,nimmie,-34.512887,144.024403,16/03/2021 12:25,na,f,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,Y,NA,NA,NA,16/03/2021 12:26,16/03/2021 12:32,5.72,NA,NA,NA,NA,NA,0:07:21,7.35,1,"bloody nose, but no visible skin break",16,NA,23/04/2021 9:00,NA,24/04/2021,24/04/2021 0:00,NA,38.48,dead_unknown,NA,NA,recaptured with 01 at same trap 19/3/2021,NA
AB66,Manual,NA,NSW,nimmie,-34.516581,144.034895,16/03/2021 10:58,na,f,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,Y,NA,NA,NA,16/03/2021 11:01,16/03/2021 11:32,31.27,NA,NA,NA,NA,NA,0:34:42,34.7,0,NA,2,NA,18/06/2021 8:01,NA,19/06/2021,19/06/2021 0:00,NA,94.54,dead_unknown,NA,NA,NA,NA
AB67,Manual,NA,NSW,booligal,-33.813667,144.738014,20/10/2021 8:25,16.9,f,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,Y,NA,NA,NA,20/10/2021 8:37,20/10/2021 8:39,1.98,NA,NA,NA,NA,NA,0:14:43,14.72,0,NA,3,NA,21/01/2022 11:00,NA,NA,NA,NA,NA,dead_unknown,NA,NA,NA,NA
AB68,Manual,NA,NSW,marimley,-34.421912,143.730368,18/03/2021 8:18,na,f,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2,Y,NA,NA,NA,18/03/2021 8:20,18/03/2021 8:35,15,NA,NA,NA,NA,NA,0:17:15,17.25,1,"bloody nose, but no visible skin break, very fat neck",11,NA,26/06/2021 5:01,NA,27/06/2021,27/06/2021 0:00,NA,100.65,dead_shothunter,NA,NA,NA,NA
AB69,Manual,NA,NSW,nimmie,-34.512887,144.024403,16/03/2021 12:25,na,f,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.4,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,16,NA,23/11/2021 10:00,NA,24/11/2021,24/11/2021,NA,252.48,dead_shotaerial,NA,NA,NA,NA
AB70,Manual,NA,NSW,booligal,-33.813667,144.738014,20/10/2021 8:25,16.9,m,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.6,Y,NA,NA,NA,20/10/2021 8:41,20/10/2021 8:44,3.13,NA,NA,NA,NA,NA,0:19:43,19.72,0,NA,3,NA,8/12/2021 10:00,NA,1/10/2022,1/10/2022 11:00,NA,346.11,dead_shotlandholder,NA,NA,NA,NA
AB71,Manual,NA,NSW,nimmie,-34.512887,144.024403,16/03/2021 12:25,na,f,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.6,Y,NA,NA,NA,16/03/2021 12:29,16/03/2021 12:37,7.93,NA,NA,NA,NA,NA,0:12:12,12.2,0,NA,16,NA,21/06/2022 16:00,NA,22/06/2022,22/06/2022 9:00,NA,462.86,dead_shotaerial,NA,NA,NA,NA
AB72,Manual,NA,NSW,nimmie,-34.516581,144.034895,16/03/2021 10:58,na,m,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,Y,NA,NA,NA,16/03/2021 11:05,16/03/2021 11:26,20.93,NA,NA,NA,NA,NA,0:28:26,28.43,0,NA,2,NA,9/08/2021 13:00,NA,24/11/2021,24/11/2021 0:00,NA,252.54,dead_shotaerial,NA,NA,NA,NA
AB73,Manual,NA,NSW,booligal,-33.813679,144.810974,19/10/2021 7:55,11.9,m,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,Y,NA,NA,NA,19/10/2021 8:11,19/10/2021 8:15,3.5,NA,NA,NA,NA,NA,0:20:00,20,0,NA,5,NA,30/01/2023 12:01,NA,20/05/2023,20/05/2023 13:00,NA,578.21,dead_shotlandholder,NA,NA,caught with dogs,NA
AB74,Manual,NA,NSW,booligal,-33.813679,144.810974,19/10/2021 7:55,11.9,m,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,Y,NA,NA,NA,19/10/2021 8:25,19/10/2021 8:27,2,NA,NA,NA,NA,NA,0:32:00,32,0,NA,5,NA,16/01/2022 10:01,NA,17/01/2022,17/01/2022 0:00,NA,89.67,dead_unknown,NA,NA,NA,NA
AB75,Manual,NA,NSW,napnap,-34.499612,144.21579,17/03/2021 7:45,na,m,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,Y,NA,NA,NA,17/03/2021 7:46,17/03/2021 8:00,14.13,NA,NA,NA,NA,NA,0:15:53,15.88,0,NA,6,NA,NA,NA,6/08/2021,6/08/2021 0:00,NA,141.68,unknown,NA,NA,NA,NA
AB76,Manual,NA,NSW,nimmie,-34.5159647,144.034904,17/03/2021 10:26,na,m,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/03/2021 10:29,17/03/2021 10:40,10.93,NA,NA,NA,NA,NA,0:14:00,14,1,superficial cut on right flank c 6 cm,1,NA,23/11/2021 3:00,NA,23/11/2021,23/11/2021 17:00,NA,251.27,dead_shotaerial,NA,NA,escaped early,NA
AB77,Manual,NA,NSW,Yantabulla,-29.296027,144.979284,21/09/2023 8:38,21.7,m,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21/09/2023 8:46,21/09/2023 8:48,2.87,NA,NA,NA,NA,NA,0:10:52,10.87,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,alive,NA,NA,NA,NA
DM01,Pole syringe,Bunya Collared Pig 3,QLD,Marbehvale,-26.793529,151.448498,22/05/2023 13:30,21,m,NANone SelectedNA,92.8,NA,45416,Moderate ,Zoletil,2.1,2.26,NA,NA,NA,NA,NA,Rump,4,Good,39.6,N,Normal,Normal,NA,22/05/2023 13:30,22/05/2023 13:54,6.97,22/05/2023 14:40,0:45:35,NA,NA,NA,1:13:29,13.48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM02,Pole syringe,Bunya Collared Pig 7,QLD,Wattlegrove,-26.852512,151.514226,24/11/2023 8:38,21,m,NANone SelectedNA,92.8,NA,45416,Moderate ,Zoletil,2,2.16,NA,NA,NA,NA,NA,Rump,6,Good,40,Y,Normal,Normal,NA,24/11/2023 8:38,24/11/2023 8:55,7.52,24/11/2023 8:55,0:00:30,NA,NA,NA,0:23:14,23.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM03,Pole syringe,Bunya Collared Pig 8,QLD,Irwins,-26.871043,151.535768,24/11/2023 9:50,23,f,Lactating ,53,NA,45414,Low ,Zoletil,2,3.77,NA,NA,NA,NA,NA,Rump,4,Deep,39.4,N,Normal,Normal,NA,24/11/2023 9:00,24/11/2023 10:02,4.1,24/11/2023 10:51,0:48:11,NA,NA,NA,1:54:25,54.42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM04,Pole syringe,Bunya Collared Pig 9,QLD,Irwins,-26.871014,151.53591,24/11/2023 10:07,24,m,NANone SelectedNA,50,NA,45415,Moderate ,Zoletil,2,4,NA,NA,NA,NA,NA,Rump,4,Deep,39.2,N,Normal,Normal,NA,24/11/2023 9:54,24/11/2023 10:10,6.07,24/11/2023 10:41,0:31:14,NA,NA,NA,0:51:32,51.53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM05,Pole syringe,Bunya Collared Pig 10,QLD,Russel park ,-26.895835,151.595637,27/11/2023 13:20,23,f,Lactating ,67.7,NA,45415,Moderate ,Zoletil,2.1,3.1,NA,NA,NA,NA,NA,Rump,5,Good,40,Y,Normal,Normal,NA,27/11/2023 13:20,27/11/2023 13:34,2.98,27/11/2023 14:04,0:29:16,NA,NA,NA,0:48:30,48.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM06,Pole syringe,Bunya Collared Pig 11,QLD,Nations ,-26.928728,151.574507,5/03/2024 17:08,27,m,NANone SelectedNA,82.8,NA,45416,Moderate ,Zoletil,2,2.42,NA,NA,NA,NA,NA,Rump,3,Good,42.6,Y,Normal,Normal,NA,5/03/2024 17:08,5/03/2024 17:24,4.83,5/03/2024 17:55,0:31:00,NA,NA,NA,0:50:18,50.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM07,Pole syringe,Bunya Collared Pig 12,QLD,Wenhems,-26.892981,151.550766,21/03/2024 8:57,23,m,NANone SelectedNA,52,NA,45416,Moderate ,Zoletil,2,3.85,NA,NA,NA,NA,NA,Rump,11,Minimal ,NA,NA,Normal,Normal,NA,21/03/2024 8:55,21/03/2024 9:16,7.3,21/03/2024 11:11,1:55:12,NA,NA,NA,2:27:18,27.3,NA,"No temp, thermometer broken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM08,Pole syringe,Bunya Collared Pig 13,QLD,Russel PARK,-26.895797,151.595552,5/06/2024 9:49,12,m,NANone SelectedNA,81,NA,45416,High,Zoletil,2,2.47,NA,NA,NA,NA,NA,Rump,7,Minimal ,40,Y,Normal,Shallow,NA,5/06/2024 9:49,5/06/2024 10:15,3.65,5/06/2024 10:15,0:00:02,NA,NA,NA,0:33:09,33.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM09,Pole syringe,Bunya Collared Pig 14,QLD,Russel Park,-26.895991,151.59576,5/06/2024 10:16,12,f,Pregnant ,65.8,NA,45416,Moderate ,Zoletil,2,3.04,NA,NA,NA,NA,NA,Rump,4,Minimal ,40,Y,Normal,Normal,NA,5/06/2024 10:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM10,Pole syringe,Bunya Collared Pig 15,QLD,Russel park,-26.895773,151.59552,3/07/2024 16:37,10,m,NANone SelectedNA,104,NA,45416,Moderate ,Zoletil,2.1,2.02,NA,NA,NA,NA,NA,Rump,7,Good,NA,NA,Normal,Normal,NA,3/07/2024 16:59,3/07/2024 17:17,15.32,3/07/2024 18:02,0:45:03,NA,NA,NA,1:10:05,10.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM100,Pole syringe,Western Collared Pig 13,NSW,Gov tank,-30.594319,143.678169,15/09/2020 15:40,26,m,NANone SelectedNA,47.8,NA,45415,Moderate ,Zoletil,2,4.18,NA,NA,NA,NA,NA,Rump,5,Good,39.8,N,Normal,Normal,NA,15/09/2020 15:40,15/09/2020 16:10,3.08,15/09/2020 16:28,0:18:11,NA,NA,NA,0:52:25,52.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM101,Pole syringe,Western Collared Pig 14,NSW,Nocheleche,-29.97673,144.131056,11/11/2020 17:48,32,m,NANone SelectedNA,62.8,NA,45415,Moderate ,Zoletil,2,3.18,NA,NA,NA,NA,NA,Rump,3,Good,39.3,N,Normal,Normal,NA,11/11/2020 17:48,11/11/2020 18:09,3.35,11/11/2020 18:50,0:41:20,NA,NA,NA,1:05:07,5.12,0,NA,NA,NA,NA,NA,4/07/2022,4/07/2022,NA,599.26,NA,NA,Shot on the 4th July 2022. Weighed 72.2kg. ,NA,NA
DM102,Pole syringe,Western Collared Pig 15,NSW,Noceleche,-29.961558,144.127569,11/11/2020 18:39,34,m,NANone SelectedNA,58,NA,45416,Moderate ,Zoletil,2,3.45,NA,NA,NA,NA,NA,Rump,4,Good,38.4,N,Normal,Normal,NA,11/11/2020 18:39,11/11/2020 18:50,2.8,11/11/2020 19:21,0:31:05,NA,NA,NA,0:46:54,46.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM103,Pole syringe,Western Collared Pig 16,NSW,Nocoleche west,-29.884402,144.083571,12/11/2020 10:01,25,f,Pregnant ,47.2,NA,45416,High,Zoletil,2,4.24,NA,NA,NA,NA,NA,Rump,3,Good,39.8,N,Rapid,Normal,NA,12/11/2020 9:56,12/11/2020 10:15,3.85,12/11/2020 11:51,1:35:58,NA,NA,NA,1:58:07,58.12,0,Very humid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM104,Pole syringe,Western Collared Pig 17,NSW,Tongo,-30.494847,143.590869,24/11/2020 14:26,31,m,NANone SelectedNA,77,NA,45416,High,Zoletil,2,2.6,NA,NA,NA,NA,NA,Rump,5,Minimal ,39.7,N,Normal,Normal,NA,24/11/2020 14:04,24/11/2020 14:31,27.23,24/11/2020 14:31,0:00:16,NA,NA,NA,0:32:30,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM105,Pole syringe,Western Collared Pig 18,NSW,Warramutty,-30.466201,143.959288,24/11/2020 10:57,22.7,f,Pregnant ,66.8,NA,45415,Moderate ,Zoletil,2,2.99,NA,NA,NA,NA,NA,Rump,5,Good,37.2,N,Normal,Normal,NA,25/11/2020 10:52,25/11/2020 11:12,19.55,25/11/2020 12:11,0:58:44,NA,NA,NA,1:23:17,23.28,NA,Ear tagged 10 pigs in system Destroyed 11 pigs 6 ms 5 fs all approx 10kg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM106,Pole syringe,Western Collared Pig 19,NSW,Tongo,-30.40508,143.57014,25/11/2020 20:12,33,f,Pregnant ,88.7,NA,45417,Moderate ,Zoletil,2.2,2.48,NA,NA,NA,NA,NA,Rump,NA,Good,38.9,N,Normal,Normal,NA,25/11/2020 19:56,25/11/2020 20:21,24.42,25/11/2020 21:26,1:05:12,NA,NA,NA,1:35:37,35.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM107,Pole syringe,Western Collared Pig 20,NSW,Tongo ,-30.474616,143.675567,25/11/2020 21:18,28,m,NANone SelectedNA,48.8,NA,45415,Moderate ,Zoletil,2,4.1,NA,NA,NA,NA,NA,Rump,3,Deep,37.8,N,Normal,Normal,NA,25/11/2020 21:27,25/11/2020 21:42,15.2,25/11/2020 22:36,0:53:12,NA,NA,NA,1:11:24,11.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM108,Pole syringe,Western Collared Pig 21,NSW,Norma Downs ,-30.664756,143.923211,27/11/2020 6:30,27,m,NANone SelectedNA,47.7,NA,45414,Low ,Zoletil,2,4.19,NA,NA,NA,NA,NA,Rump,5,Deep,34.7,N,Normal,Normal,NA,27/11/2020 6:19,27/11/2020 6:46,26.3,27/11/2020 9:00,2:14:13,NA,NA,NA,2:45:31,45.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM109,Pole syringe,Western Collared Pig 22,NSW,Laurel vale ,-30.547868,143.941434,28/11/2020 20:13,42,m,NANone SelectedNA,53.2,NA,45416,High,Zoletil,2,3.76,NA,NA,NA,NA,NA,Rump,2,Good,39.9,N,Normal,Normal,NA,28/11/2020 19:43,28/11/2020 20:03,20.27,28/11/2020 20:36,0:32:15,NA,NA,NA,0:54:31,54.52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM11,Pole syringe,NTLLS FMD Collared Pig 1,NSW,Windorah ,-29.475275,151.213568,17/01/2023 15:37,32,m,NANone SelectedNA,61.2,NA,45416,Moderate ,Zoletil,2,3.27,NA,NA,NA,NA,NA,Rump,3,Good,40.4,Y,Normal,Normal,NA,17/01/2023 15:37,17/01/2023 15:58,20.47,17/01/2023 16:26,0:28:01,NA,NA,NA,0:51:29,51.48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM110,Pole syringe,Western Collared Pig 23,NSW,Laurel vale,-30.548172,143.941224,28/11/2020 20:22,42,m,NANone SelectedNA,72,NA,45417,High,Zoletil,2,2.78,NA,NA,NA,NA,NA,Rump,4,Good,39.1,N,Normal,Normal,NA,28/11/2020 19:40,28/11/2020 20:20,40.37,28/11/2020 20:23,0:02:13,NA,NA,NA,0:46:35,46.58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM111,Pole syringe,Western Collared Pig 24,NSW,Tiltawera,-30.03504,144.095917,28/11/2020 22:25,39,f,Lactating ,58.4,NA,45415,Moderate ,Zoletil,2,3.42,NA,NA,NA,NA,NA,Rump,6,Minimal ,38.4,N,Normal,Normal,NA,28/11/2020 22:02,28/11/2020 22:23,21.22,28/11/2020 22:59,0:36:18,NA,NA,NA,1:03:31,3.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM112,Pole syringe,Western Collared Pig 25,NSW,Tongo,-30.405021,143.570583,29/11/2020 14:06,35,m,NANone SelectedNA,46.2,NA,45416,Moderate ,Zoletil,2,4.33,NA,NA,NA,NA,NA,Rump,3,Good,39.1,N,Normal,Normal,NA,29/11/2020 13:49,29/11/2020 14:05,16.4,29/11/2020 14:10,0:05:19,NA,NA,NA,0:24:43,24.72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM113,Pole syringe,Western Collared Pig 26,NSW,Tongo,-30.474421,143.675511,30/11/2020 7:05,24,m,NANone SelectedNA,47.4,NA,45416,Moderate ,Zoletil,2,4.22,NA,NA,NA,NA,NA,Rump,4,Good,37.6,N,Normal,Normal,NA,30/11/2020 6:37,30/11/2020 7:03,26.35,30/11/2020 7:49,0:45:17,NA,NA,NA,1:15:38,15.63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM114,Pole syringe,Western Collared Pig 27,NSW,Norma Downs,-30.557691,143.964291,30/11/2020 9:05,30,m,NANone SelectedNA,57,NA,45416,Moderate ,Zoletil,1.9,3.33,NA,NA,NA,NA,NA,Rump,3,Good,37.7,N,Normal,Normal,NA,30/11/2020 8:45,30/11/2020 9:04,19.32,30/11/2020 10:42,1:38:18,NA,NA,NA,2:00:37,0.62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM115,Pole syringe,Western Collared Pig 28,NSW,Tiltawera,-30.044786,144.082305,17/12/2020 13:05,43,m,NANone SelectedNA,60.4,NA,45417,Moderate ,Zoletil,1.9,3.15,NA,NA,NA,NA,NA,Rump,3,Good,41.5,Y,Rapid,Normal,NA,17/12/2020 12:49,17/12/2020 13:04,15.17,17/12/2020 14:33,1:28:14,NA,NA,NA,1:46:24,46.4,0,NA,NA,NA,NA,NA,18/12/2020,18/12/2020 13:04,NA,1,dead_unknown,NA,Died within 24hrs of collaring,NA,NA
DM116,Pole syringe,Western Collared Pig 29,NSW,Norma Downs,-30.63406,143.96922,17/12/2020 17:47,42,f,Pregnant ,56.2,NA,45417,Moderate ,Zoletil,2,3.56,NA,NA,NA,NA,NA,Rump,5,Good,40.7,Y,Normal,Normal,NA,17/12/2020 17:24,17/12/2020 17:45,21.37,17/12/2020 19:23,1:38:21,NA,NA,NA,2:04:43,4.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM117,Pole syringe,Western Collared Pig 30,NSW,Norma Downs,-30.696196,143.89426,17/12/2020 19:05,38,f,Lactating ,46.4,NA,45415,Moderate ,Zoletil,2,4.31,NA,NA,NA,NA,NA,Rump,4,Good,39.8,N,Normal,Normal,NA,17/12/2020 19:02,17/12/2020 19:17,15.3,17/12/2020 20:36,1:18:23,NA,NA,NA,1:37:41,37.68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM118,Pole syringe,Western Collared Pig 31,NSW,Norma Downs,-30.600664,143.923326,18/12/2020 5:27,25,m,NANone SelectedNA,70,NA,45416,Moderate ,Zoletil,2,2.86,NA,NA,NA,NA,NA,Rump,6,Good,38.5,N,Normal,Normal,NA,18/12/2020 5:29,18/12/2020 5:32,2.72,18/12/2020 6:17,0:45:31,NA,NA,NA,0:54:14,54.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM119,Pole syringe,Western Collared Pig 32,NSW,Norma Downs,-30.629761,143.923342,18/12/2020 6:10,25,m,NANone SelectedNA,65.4,NA,45417,Moderate ,Zoletil,2,3.06,NA,NA,NA,NA,NA,Rump,4,Good,38.2,N,Normal,Normal,NA,18/12/2020 5:55,18/12/2020 6:10,15.33,18/12/2020 7:13,1:03:14,NA,NA,NA,1:22:34,22.57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM12,Pole syringe,NTLLS FMD Collared Pig 2,NSW,Pindaroi station ,-29.510142,151.274712,17/01/2023 16:51,31,m,NANone SelectedNA,75.8,NA,45416,Moderate ,Zoletil,2,2.64,NA,NA,NA,NA,NA,Rump,6,Good,39.6,N,Normal,Normal,NA,17/01/2023 16:51,17/01/2023 17:11,19.62,17/01/2023 17:32,0:21:33,NA,NA,NA,0:47:10,47.17,NA,NA,NA,NA,NA,NA,4/05/2023,4/05/2023,NA,106.3,NA,NA,Shot on the 4th of May in aerial shoot. Weight was 89kg ,NA,NA
DM120,Pole syringe,Western Collared Pig 33,NSW,Mount Jack ,-30.807246,143.679512,17/05/2021 15:56,19,f,Pregnant ,49.6,NA,45416,Moderate ,Zoletil,2,4.03,NA,NA,NA,NA,NA,Rump,5,Deep,39.8,N,Normal,Normal,NA,17/05/2021 15:58,17/05/2021 16:22,23.77,17/05/2021 17:14,0:51:59,NA,NA,NA,1:20:45,20.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM121,Pole syringe,Western Collared Pig 34,NSW,Mount Jack,-30.826867,143.742165,18/05/2021 13:42,19,m,NANone SelectedNA,41.4,NA,45416,Low ,Zoletil,2,4.83,NA,NA,NA,NA,NA,Rump,2,Good,37.8,N,Normal,Normal,NA,18/05/2021 13:42,18/05/2021 14:07,25.35,18/05/2021 14:48,0:40:48,NA,NA,NA,1:08:09,8.15,0,. Pig weighed 80.2kg. Shot with Ray Dennis  ear tag 61,NA,NA,NA,NA,19/02/2023,19/02/2023,NA,641.43,NA,NA,Shot on the 19 Feb 2023,NA,NA
DM122,Pole syringe,Western Collared Pig 35,NSW,Clondyke,-30.718706,143.74319,9/10/2021 8:02,21,m,NANone SelectedNA,42.4,NA,45416,Moderate ,Zoletil,2,4.72,NA,NA,NA,NA,NA,Rump,3,Good,40.3,Y,Normal,Normal,NA,9/10/2021 7:59,9/10/2021 8:22,22.98,9/10/2021 9:42,1:20:30,NA,NA,NA,1:46:29,46.48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM123,Pole syringe,Western Collared Pig 36,NSW,Mt Jack,-30.866205,143.656197,9/10/2021 9:15,27,m,NANone SelectedNA,63.8,NA,45416,Moderate ,Zoletil,2,3.13,NA,NA,NA,NA,NA,Rump,5,Good,39.4,N,Normal,Normal,NA,9/10/2021 9:15,9/10/2021 9:37,21.68,9/10/2021 10:14,0:36:57,NA,NA,NA,1:03:38,3.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM124,Pole syringe,Western Collared Pig 37,NSW,My Jack,-30.807173,143.679457,10/10/2021 7:01,18,m,NANone SelectedNA,62.8,NA,45415,Moderate ,Zoletil,1.8,2.87,NA,NA,NA,NA,NA,Rump,4,Good,36.6,N,Normal,Normal,NA,10/10/2021 7:00,10/10/2021 7:20,20.88,10/10/2021 8:46,1:25:09,NA,NA,NA,1:50:02,50.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM125,Pole syringe,Western Collared Pig 38,NSW,Mt Jack,-30.82679,143.742426,10/10/2021 8:55,20,m,NANone SelectedNA,68.4,NA,45415,Moderate ,Zoletil,2,2.92,NA,NA,NA,NA,NA,Rump,2,Good,36,N,Normal,Normal,NA,10/10/2021 8:55,10/10/2021 9:20,24.97,10/10/2021 10:00,0:40:03,NA,NA,NA,1:07:01,7.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
