ID,Capture method,Name,State,Site,Latitude,Longitude,Date,Ambient temp,Sex,Female breeding condition ,Mass (kg),Mass estimated,Body condition score,Stress level ,Drug(s),Dose: Zoletil (mL),Dose: Zoletil (mg/kg),Dose: Xylazine (mL),Dose: Xylazine (mg/kg),Dose: yohimbine (mg),Dose: yohimbine (mg/kg),Dose:atipamezole (mg),Dose:atipamezole (mg/kg),Drug admin site,Induction duration (min:sec),Induction duration (min),Depth Of Anaesthesia,Temp_body,Hyperthermia (Y/N),Respiratory rate ,Respiratory depth ,Heart rate ,Time of restraint,Time of release,Handling duration (min:sec),Handling duration (min),Time standing,Recovery duration (min:sec),Notes on recovery,Reversal time (min),Total duration (min:sec),Total duration (min),Injury,Injury type,n_in_trap,tags_in_trap,last_usable_fix,collar_in_hand,mortality,Collar end date,Capture-death duration,Collar shed,fate,notes_on_collar_recovery,notes_on_capture,Doses,Collar data,,,,,,,,,
DM122,Pole syringe,Western Collared Pig 35,NSW,Clondyke,-30.718706,143.74319,10/9/2021,21,m,-None Selected-,42.40,,45416,Moderate ,Zoletil,2.00,4.72,,,,,,,Rump,03:00,,Good,40.3,Y,Normal,Normal,,10/9/2021 7:59,10/9/2021 8:22,22:59,22.98,10/9/2021 9:42,1:20:30,,,1:46:29,46.48,0,,,,,,,,,,,,,,,,,,,,,,,
DM74,Pole syringe,Mulgate Creek Collared Pig 4,NSW,Llara,-30.253026,149.873669,7/21/2021,10,f,Pregnant ,44.40,,45416,Moderate ,Zoletil,2.00,4.50,,,,,,,Rump,04:00,,Good,38.7,N,Normal,Normal,,7/21/2021 11:15,7/21/2021 11:30,15:24,15.40,7/21/2021 12:20,0:49:48,,,1:09:12,9.20,0,,,,,,,,,,,,,,,,,,,,,,,
DM73,Pole syringe,Mulgate Creek Collared Pig 3,NSW,Llara,-30.253655,149.891453,7/21/2021,8,m,-None Selected-,41.00,,45416,Moderate ,Zoletil,2.00,4.88,,,,,,,Rump,03:00,,Good,39,N,Normal,Normal,,7/21/2021 9:57,7/21/2021 10:08,10:58,10.97,7/21/2021 10:47,0:39:02,,,0:52:59,52.98,0,,,,,,,,,,,,,,,,,,,,,,,
DM72,Pole syringe,Mulgate Creek Collared Pig 2,NSW,Nioka,-30.234537,149.96281,7/20/2021,12,f,Pregnant ,95.60,,45417,Moderate ,Zoletil,2.20,2.30,,,,,,,Rump,05:00,,Good,35.4,N,Normal,Normal,,7/20/2021 15:40,7/20/2021 16:16,35:23,35.38,7/20/2021 16:22,0:05:57,,,0:46:20,46.33,0,,,,,,,,,,,,,,,,,,,,,,,
DM71,Pole syringe,Mulgate Creek Collared Pig 1,NSW,Nioka,-30.234599,149.963036,7/20/2021,12,f,Pregnant ,103.00,,45417,Low ,Zoletil,2.10,2.04,,,,,,,Rump,05:00,,Minimal ,39.2,N,Normal,Normal,,7/20/2021 15:44,7/20/2021 16:10,25:25,25.42,7/20/2021 16:15,0:05:01,,,0:35:27,35.45,0,,,,,,,,,,,,,,,,,,,,,,,
DM120,Pole syringe,Western Collared Pig 33,NSW,Mount Jack ,-30.807246,143.679512,5/17/2021,19,f,Pregnant ,49.60,,45416,Moderate ,Zoletil,2.00,4.03,,,,,,,Rump,05:00,,Deep,39.8,N,Normal,Normal,,5/17/2021 15:58,5/17/2021 16:22,23:46,23.77,5/17/2021 17:14,0:51:59,,,1:20:45,20.75,,,,,,,,,,,,,,,,,,,,,,,,
DM119,Pole syringe,Western Collared Pig 32,NSW,Norma Downs,-30.629761,143.923342,12/18/2020,25,m,-None Selected-,65.40,,45417,Moderate ,Zoletil,2.00,3.06,,,,,,,Rump,04:00,,Good,38.2,N,Normal,Normal,,12/18/2020 5:55,12/18/2020 6:10,15:20,15.33,12/18/2020 7:13,1:03:14,,,1:22:34,22.57,0,,,,,,,,,,,,,,,,,,,,,,,
DM118,Pole syringe,Western Collared Pig 31,NSW,Norma Downs,-30.600664,143.923326,12/18/2020,25,m,-None Selected-,70.00,,45416,Moderate ,Zoletil,2.00,2.86,,,,,,,Rump,06:00,,Good,38.5,N,Normal,Normal,,12/18/2020 5:29,12/18/2020 5:32,02:43,2.72,12/18/2020 6:17,0:45:31,,,0:54:14,54.23,,,,,,,,,,,,,,,,,,,,,,,,
DM117,Pole syringe,Western Collared Pig 30,NSW,Norma Downs,-30.696196,143.89426,12/17/2020,38,f,Lactating ,46.40,,45415,Moderate ,Zoletil,2.00,4.31,,,,,,,Rump,04:00,,Good,39.8,N,Normal,Normal,,12/17/2020 19:02,12/17/2020 19:17,15:18,15.30,12/17/2020 20:36,1:18:23,,,1:37:41,37.68,0,,,,,,,,,,,,,,,,,,,,,,,
DM116,Pole syringe,Western Collared Pig 29,NSW,Norma Downs,-30.63406,143.96922,12/17/2020,42,f,Pregnant ,56.20,,45417,Moderate ,Zoletil,2.00,3.56,,,,,,,Rump,05:00,,Good,40.7,Y,Normal,Normal,,12/17/2020 17:24,12/17/2020 17:45,21:22,21.37,12/17/2020 19:23,1:38:21,,,2:04:43,4.72,,"See photo

DNA black f and first two piglets 
f 20kg AQF7010493
Ginger m 10kg AQF7010494
Black m 10kg AQF7010495",,,,,,,,,,,,,,,,,,,,,,
DM114,Pole syringe,Western Collared Pig 27,NSW,Norma Downs,-30.557691,143.964291,11/30/2020,30,m,-None Selected-,57.00,,45416,Moderate ,Zoletil,1.90,3.33,,,,,,,Rump,03:00,,Good,37.7,N,Normal,Normal,,11/30/2020 8:45,11/30/2020 9:04,19:19,19.32,11/30/2020 10:42,1:38:18,,,2:00:37,0.62,0,,,,,,,,,,,,,,,,,,,,,,,
DM113,Pole syringe,Western Collared Pig 26,NSW,"Tongo
",-30.474421,143.675511,11/30/2020,24,m,-None Selected-,47.40,,45416,Moderate ,Zoletil,2.00,4.22,,,,,,,Rump,04:00,,Good,37.6,N,Normal,Normal,,11/30/2020 6:37,11/30/2020 7:03,26:21,26.35,11/30/2020 7:49,0:45:17,,,1:15:38,15.63,0,,,,,,,,,,,,,,,,,,,,,,,
DM112,Pole syringe,Western Collared Pig 25,NSW,Tongo,-30.405021,143.570583,11/29/2020,35,m,-None Selected-,46.20,,45416,Moderate ,Zoletil,2.00,4.33,,,,,,,Rump,03:00,,Good,39.1,N,Normal,Normal,,11/29/2020 13:49,11/29/2020 14:05,16:24,16.40,11/29/2020 14:10,0:05:19,,,0:24:43,24.72,0,,,,,,,,,,,,,,,,,,,,,,,
DM111,Pole syringe,Western Collared Pig 24,NSW,Tiltawera,-30.03504,144.095917,11/28/2020,39,f,Lactating ,58.40,,45415,Moderate ,Zoletil,2.00,3.42,,,,,,,Rump,06:00,,Minimal ,38.4,N,Normal,Normal,,11/28/2020 22:02,11/28/2020 22:23,21:13,21.22,11/28/2020 22:59,0:36:18,,,1:03:31,3.52,,,,,,,,,,,,,,,,,,,,,,,,
DM110,Pole syringe,Western Collared Pig 23,NSW,Laurel vale,-30.548172,143.941224,11/28/2020,42,m,-None Selected-,72.00,,45417,High,Zoletil,2.00,2.78,,,,,,,Rump,04:00,,Good,39.1,N,Normal,Normal,,11/28/2020 19:40,11/28/2020 20:20,40:22,40.37,11/28/2020 20:23,0:02:13,,,0:46:35,46.58,0,,,,,,,,,,,,,,,,,,,,,,,
DM109,Pole syringe,Western Collared Pig 22,NSW,Laurel vale ,-30.547868,143.941434,11/28/2020,42,m,-None Selected-,53.20,,45416,High,Zoletil,2.00,3.76,,,,,,,Rump,02:00,,Good,39.9,N,Normal,Normal,,11/28/2020 19:43,11/28/2020 20:03,20:16,20.27,11/28/2020 20:36,0:32:15,,,0:54:31,54.52,0,,,,,,,,,,,,,,,,,,,,,,,
DM108,Pole syringe,Western Collared Pig 21,NSW,Norma Downs ,-30.664756,143.923211,11/27/2020,27,m,-None Selected-,47.70,,45414,Low ,Zoletil,2.00,4.19,,,,,,,Rump,05:00,,Deep,34.7,N,Normal,Normal,,11/27/2020 6:19,11/27/2020 6:46,26:18,26.30,11/27/2020 9:00,2:14:13,,,2:45:31,45.52,,,,,,,,,,,,,,,,,,,,,,,,
DM107,Pole syringe,Western Collared Pig 20,NSW,Tongo ,-30.474616,143.675567,11/25/2020,28,m,-None Selected-,48.80,,45415,Moderate ,Zoletil,2.00,4.10,,,,,,,Rump,03:00,,Deep,37.8,N,Normal,Normal,,11/25/2020 21:27,11/25/2020 21:42,15:12,15.20,11/25/2020 22:36,0:53:12,,,1:11:24,11.40,0,,,,,,,,,,,,,,,,,,,,,,,
DM106,Pole syringe,Western Collared Pig 19,NSW,Tongo,-30.40508,143.57014,11/25/2020,33,f,Pregnant ,88.70,,45417,Moderate ,Zoletil,2.20,2.48,,,,,,,Rump,06:00,,Good,38.9,N,Normal,Normal,,11/25/2020 19:56,11/25/2020 20:21,24:25,24.42,11/25/2020 21:26,1:05:12,,,1:35:37,35.62,,,,,,,,,,,,,,,,,,,,,,,,
DM104,Pole syringe,Western Collared Pig 17,NSW,Tongo,-30.494847,143.590869,11/24/2020,31,m,-None Selected-,77.00,,45416,High,Zoletil,2.00,2.60,,,,,,,Rump,05:00,,Minimal ,39.7,N,Normal,Normal,,11/24/2020 14:04,11/24/2020 14:31,27:14,27.23,11/24/2020 14:31,0:00:16,,,0:32:30,32.50,,,,,,,,,,,,,,,,,,,,,,,,
DM105,Pole syringe,Western Collared Pig 18,NSW,Warramutty,-30.466201,143.959288,11/24/2020,22.7,f,Pregnant ,66.80,,45415,Moderate ,Zoletil,2.00,2.99,,,,,,,Rump,05:00,,Good,37.2,N,Normal,Normal,,11/25/2020 10:52,11/25/2020 11:12,19:33,19.55,11/25/2020 12:11,0:58:44,,,1:23:17,23.28,,"Ear tagged 10 pigs in system
Destroyed 11 pigs 6 ms 5 fs all approx 10kg",,,,,,,,,,,,,,,,,,,,,,
DM103,Pole syringe,Western Collared Pig 16,NSW,Nocoleche west,-29.884402,144.083571,11/12/2020,25,f,Pregnant ,47.20,,45416,High,Zoletil,2.00,4.24,,,,,,,Rump,03:00,,Good,39.8,N,Rapid,Normal,,11/12/2020 9:56,11/12/2020 10:15,19:09,19.15,11/12/2020 11:51,1:35:58,,,1:58:07,58.12,0,Very humid,,,,,,,,,,,,,,,,,,,,,,
DM102,Pole syringe,Western Collared Pig 15,NSW,Noceleche,-29.961558,144.127569,11/11/2020,34,m,-None Selected-,58.00,,45416,Moderate ,Zoletil,2.00,3.45,,,,,,,Rump,04:00,,Good,38.4,N,Normal,Normal,,11/11/2020 18:39,11/11/2020 18:50,11:49,11.82,11/11/2020 19:21,0:31:05,,,0:46:54,46.90,0,,,,,,,,,,,,,,,,,,,,,,,
DM98,Pole syringe,Western Collared Pig 10,NSW,Noch,-29.961516,144.127265,9/25/2020,18,f,Pregnant ,63.40,,45416,Moderate ,Zoletil,5.10,8.04,,#DIV/0!,,,,,Rump,06:00,,Minimal ,39.3,N,Normal,Normal,,9/25/2020 14:49,9/25/2020 15:32,42:33,42.55,9/25/2020 16:36,1:03:40,,,1:52:13,52.22,,,,,,,,,,,,,,,,,,,,,,,,
DM97,Pole syringe,Western Collared Pig 9,NSW,Barcheka,-29.637463,143.945159,9/24/2020,18,f,Pregnant ,51.60,,45416,Moderate ,Zoletil,2.10,4.07,,#DIV/0!,,,,,Rump,05:00,,Good,39.2,N,Normal,Normal,,9/24/2020 19:07,9/24/2020 19:37,29:45,29.75,9/24/2020 20:01,0:24:02,,,0:58:47,58.78,,,,,,,,,,,,,,,,,,,,,,,,
DM96,Pole syringe,Western Collared Pig 8,NSW,Barchecar ,-29.637463,143.945159,9/24/2020,18,f,Pregnant ,67.00,,45416,Low ,Zoletil,2.20,3.28,,#DIV/0!,,,,,Rump,05:00,,Good,39.4,N,Slow,Shallow,,9/24/2020 19:07,9/24/2020 19:18,11:09,11.15,9/24/2020 19:45,0:26:58,,,0:43:07,43.12,,,,,,,,,,,,,,,,,,,,,,,,
DM95,Pole syringe,Western Collared Pig 7,NSW,Moorland Downs,-29.446497,144.340168,9/24/2020,22,m,-None Selected-,51.80,,45416,Low ,Zoletil,2.00,3.86,,2.63,,,,,Rump,03:00,,Good,37.9,N,Normal,Normal,,9/24/2020 15:17,9/24/2020 15:33,15:09,15.15,9/24/2020 17:14,1:41:06,,,1:59:15,59.25,0,,,,,,,,,,,,,,,,,,,,,,,
DM94,Pole syringe,Western Collared Pig 6,NSW,Noch,-29.979024,144.222544,9/18/2020,29,m,-None Selected-,40.60,,45415,Low ,Zoletil,2.00,4.93,,2.94,,,,,Rump,03:00,,Deep,39.4,N,Normal,Normal,,9/18/2020 17:14,9/18/2020 17:59,44:10,44.17,9/18/2020 18:10,0:11:02,,,0:58:12,58.20,0,,,,,,,,,,,,,,,,,,,,,,,
DM93,Pole syringe,Western Collared Pig 5,NSW,Noch,-29.979074,144.222544,9/18/2020,29,f,Lactating ,42.80,,45414,Low ,Zoletil,2.20,5.14,,4.08,,,,,Rump,05:00,,Deep,39.3,N,Normal,Normal,,9/18/2020 17:23,9/18/2020 17:56,32:11,32.18,9/18/2020 19:20,1:24:03,,,2:01:14,1.23,,,,,,,,,,,,,,,,,,,,,,,,
DM92,Pole syringe,Western Collared Pig 4,NSW,Noch,-29.979024,144.222544,9/18/2020,29,f,Pregnant ,45.20,,45415,Low ,Zoletil,2.00,4.42,,2.86,,,,,Rump,03:00,,Deep,39.9,N,Normal,Normal,,9/18/2020 17:23,9/18/2020 17:51,27:09,27.15,9/18/2020 18:10,0:19:01,,,0:49:10,49.17,0,,,,,,,,,,,,,,,,,,,,,,,
DM90,Pole syringe,Western Collared Pig 2,NSW,Lenroy,-29.512525,144.282246,9/16/2020,31,m,-None Selected-,54.40,,45416,Low ,Zoletil,2.00,3.68,,4.53,,,,,Rump,05:00,,Good,40.3,Y,Normal,Normal,,9/16/2020 17:49,9/16/2020 17:57,08:14,8.23,9/16/2020 18:50,0:53:02,,,1:06:16,6.27,,,,,,,,,,,,,,,,,,,,,,,,
DM100,Pole syringe,Western Collared Pig 13,NSW,Gov tank,-30.594319,143.678169,9/15/2020,26,m,-None Selected-,47.80,,45415,Moderate ,Zoletil,2.00,4.18,,2.58,,,,,Rump,05:00,,Good,39.8,N,Normal,Normal,,9/15/2020 15:40,9/15/2020 16:10,29:14,29.23,9/15/2020 16:28,0:18:11,,,0:52:25,52.42,,,,,,,,,,,,,,,,,,,,,,,,
AB35,Manual,,NSW,booligal,-33.813679,144.810974,10/19/2021,11.9,f,,,,3,,,,,,0.00,,,,,,,-,,38.5,N,,,,0:12:15,0:15:22,03:07,187.00,,,,,0:15:22,15.37,0,,5,,,,2/11/2021 0:00,,-250.33,,dead_unknown,NA,,,,,,,,,,,,
AB31,Manual,,NSW,Yantabulla,-29.29164,144.975308,9/20/2023,22.6,m,,,,2,,,,,,2.26,,,,,,,-,,38.2,N,,,,0:09:45,0:11:25,01:40,100.00,,,,,0:11:25,11.42,0,,23,,9/21/2023 5:00,,9/20/2023 20:00,,0.50,,dead_unknown,assume capture myopathy,,,,,,,,,,,,
DM115,Pole syringe,Western Collared Pig 28,NSW,Tiltawera,-30.044786,144.082305,12/17/2020,43,m,-None Selected-,60.40,,45417,Moderate ,Zoletil,1.90,3.15,,,,,,,Rump,03:00,,Good,41.5,Y,Rapid,Normal,,12/17/2020 12:49,12/17/2020 13:04,15:10,15.17,12/17/2020 14:33,1:28:14,,,1:46:24,46.40,0,,,,,,12/18/2020 13:04,,1.00,,Unknown,Died within 24hrs of collaring,,,,,,,,,,,,
DM127,Pole syringe,Western Collared Pig 40,NSW,Mt Jack,-30.831793,143.626242,10/12/2021,20,m,-None Selected-,55.60,,45415,Moderate ,Zoletil,2.00,3.60,,,,,,,Rump,07:00,,Minimal ,39.5,N,Normal,Normal,,10/12/2021 10:20,10/12/2021 10:36,16:06,16.10,10/12/2021 11:35,0:59:36,,,1:22:42,22.70,,,,,,,10/13/2021 10:20,,1.00,,dead_unknown,Died day after collaring ,,,,,,,,,,,,
AB52,Manual,,NSW,willowtree,-31.822872,150.50396,12/19/2022,16,m,,,,4,,,,,,2.43,,,,,,,-,,39.3,N,,,,0:12:52,0:18:36,05:44,344.00,,,,,0:18:36,18.60,1,laceration rhs chest from tusk of another large pig in trap,3,,12/24/2022 15:01,,12/26/2022 0:00,,6.67,,dead_shotlandholder,NA,,,,,,,,,,,,
AB44,Manual,,NSW,Yantabulla,-29.295979,144.979313,9/19/2023,26.7,m,,,,2,,,,,,2.27,,,,,,,-,,39,N,,,,0:10:14,0:12:24,02:10,130.00,,,,,0:12:24,12.40,0,,NA,,9/30/2023 4:00,,9/29/2023 19:00,,10.43,,dead_shotlandholder,recovered from Comeroo,,,,,,,,,,,,
SC10,Manual,Bingara Collared Pig 10,NSW,Bingara,-29.757562,150.480041,2/13/2025,21,f,lactating,-,,2,,,,,,,,,,,,,-,,39.8,N,,,,0:43:00,0:58:19,15:19,15.32,,,,,0:15:19,15.32,0,,15,,2/26/2025 2:00,Y,2/27/2025 9:00,,14.09,,dead,vehicle collision,"collar was too large, took a bit of time to punch new holes",,,,,,,,,,,
AB33,Manual,,NSW,booligal,-33.812991,144.742944,10/21/2021,16.9,m,,,,3,,,,,,#DIV/0!,,,,,,,-,,38.4,N,,,,0:07:20,0:11:07,03:47,227.00,,,,,0:11:07,11.12,0,,3,,11/14/2021 10:00,,11/15/2021 0:00,,24.64,,dead_unknown,NA,,,,,,,,,,,,
AB65,Manual,,NSW,nimmie,-34.512887,144.024403,3/16/2021,na,f,,,,3,,,,,,3.16,,,,,,,-,,40.1,Y,,,,0:01:38,0:07:21,05:43,343.00,,,,,0:07:21,7.35,1,"bloody nose, but no visible skin break",16,,4/23/2021 9:00,,4/24/2021 0:00,,38.48,,dead_unknown,NA,recaptured with 01 at same trap 19/3/2021,,,,,,,,,,,
AB36,Manual,,NSW,booligal,-33.812946,144.742919,10/20/2021,13.7,f,,,,3,,,,,,0.00,,,,,,,-,,38.5,N,,,,0:05:29,0:08:38,03:09,189.00,,,,,0:08:38,8.63,0,,1,,12/4/2021 10:01,,12/5/2021 0:00,,45.66,,dead_unknown,NA,,,,,,,,,,,,
AB20,Manual,,NSW,willowtree,-31.822863,150.503893,11/30/2022,15.6,m,,,,3,,,,,,3.70,,,,,,,-,,37.4,N,,,,0:30:18,0:34:12,03:54,234.00,,,,,0:34:12,34.20,0,,5,,1/24/2023 6:00,,1/24/2023 20:00,,55.54,,dead_shotlandholder,caught by Michael P's dogs on 2023-01-23,went for a long swim in the dam after release,,,,,,,,,,,
AB57,Manual,,NSW,marimley,-34.421912,143.730368,3/18/2021,na,f,,,,4,,,,,,3.23,,,,,,,-,,39.5,N,,,,0:00:50,0:08:05,07:15,435.00,,,,,0:08:05,8.08,0,,11,,5/17/2021 9:00,,5/18/2021 0:00,,60.65,,dead_unknown,NA,,,,,,,,,,,,
AB03,Manual,,NSW,Yantabulla,-29.252607,144.981766,9/20/2023,17.7,m,,,,2,,,,,,2.58,,,,,,,-,,34.3,N,,,,0:05:45,0:06:13,00:28,28.00,,,,,0:06:13,6.22,0,,NA,,11/25/2023 10:00,,11/26/2023 21:02,,67.62,,dead_unknown,,,,,,,,,,,,,
DM27,Pole syringe,Eastern Collared Pig 44,NSW,Old farm ,-29.960884,152.065458,2/22/2022,19,m,-None Selected-,55.60,,45416,High,Zoletil,2.00,3.60,,,,,,,Rump,03:00,,Minimal ,39.2,N,Rapid,Shallow,,2/22/2022 9:01,2/22/2022 9:31,30:08,30.13,2/22/2022 9:47,0:16:01,,,0:49:09,49.15,0,,,,,,5/4/2022,,70.62,,Unknown,Died on the 4/5/2022,,,,,,,,,,,,
DM23,Pole syringe,NTLLS FMD Collared Pig 13,NSW,Kasmir,-29.526061,151.266754,2/15/2023,25,m,-None Selected-,79.80,,45416,Low ,Zoletil,2.00,2.51,,,,,,,Rump,05:00,,Deep,36.9,N,Normal,Normal,,2/15/2023 12:00,2/15/2023 12:24,24:06,24.10,2/15/2023 12:24,0:00:01,,,0:29:07,29.12,0,,,,,,5/4/2023,,77.50,,,Shot on the 4/5/23 in aerial shoot. Final weight was 79.5kg,,,,,,,,,,,,
AB74,Manual,,NSW,booligal,-33.813679,144.810974,10/19/2021,11.9,m,,,,3,,,,,,2.00,,,,,,,-,,40.9,Y,,,,0:30:00,0:32:00,02:00,120.00,,,,,0:32:00,32.00,0,,5,,1/16/2022 10:01,,1/17/2022 0:00,,89.67,,dead_unknown,NA,,,,,,,,,,,,
AB66,Manual,,NSW,nimmie,-34.516581,144.034895,3/16/2021,na,f,,,,3,,,,,,1.94,,,,,,,-,,40.1,Y,,,,0:03:26,0:34:42,31:16,1876.00,,,,,0:34:42,34.70,0,,2,,6/18/2021 8:01,,6/19/2021 0:00,,94.54,,dead_unknown,NA,,,,,,,,,,,,
DM18,Pole syringe,NTLLS FMD Collared Pig 8,NSW,Pindaroi station,-29.502336,151.296369,1/29/2023,29,f,Pregnant ,47.80,,45416,Low ,Zoletil,2.00,4.18,,,,,,,Rump,04:00,,Deep,39.7,N,Normal,Normal,,1/29/2023 16:36,1/29/2023 16:52,16:08,16.13,1/29/2023 19:00,2:08:01,,,2:28:09,28.15,0,,,,,,5/5/2023,,95.31,,,Shot on the 5/5/2023,,,,,,,,,,,,
DM36,Pole syringe,Eastern Collared Pig 53,NSW,Oban View,-30.088925,151.88899,3/7/2022,19,m,-None Selected-,71.20,,45415,Low ,Zoletil,2.10,2.95,,,,,,,Rump,05:00,,Good,38.1,N,Normal,Normal,,3/7/2022 12:05,3/7/2022 12:24,19:06,19.10,3/7/2022 13:27,1:02:28,,,1:26:34,26.57,0,,,,,,6/11/2022,,95.50,,Hunter shot,Died on 11/6/22. Hunters took him out,,,,,,,,,,,,
DM14,Pole syringe,NTLLS FMD Collared Pig 4,NSW,Glen more ,-29.482565,151.256197,1/25/2023,29,m,-None Selected-,45.00,,45415,Low ,Zoletil,2.00,4.44,,,,,,,Rump,03:00,,Good,41.8,Y,Normal,Normal,,1/25/2023 10:54,1/25/2023 11:25,31:01,31.02,1/25/2023 12:22,0:57:01,,,1:31:02,31.03,0,,,,,,5/2/2023,,96.52,,Shot,Aerial shot on the 2/5/23,,,,,,,,,,,,
DM15,Pole syringe,NTLLS FMD Collared Pig 5,NSW,Maryland,-29.548622,151.319445,1/25/2023,33,f,Pregnant ,62.00,,45417,Moderate ,Zoletil,2.00,3.23,,,,,,,Rump,03:00,,Good,41.3,Y,Normal,Normal,,1/25/2023 15:37,1/25/2023 16:00,22:29,22.48,1/25/2023 17:17,1:16:58,,,1:42:27,42.45,0,,,,,,5/4/2023,,98.35,,,Shot on the 4/5/23. Weighed 48kg ,,,,,,,,,,,,
DM17,Pole syringe,NTLLS FMD Collared Pig 7,NSW,Maryland,-29.548523,151.318577,1/25/2023,33,m,-None Selected-,55.00,,45416,Low ,Zoletil,2.00,3.64,,,,,,,Rump,03:00,,Good,40.7,Y,Normal,Normal,,1/25/2023 15:43,1/25/2023 16:08,25:04,25.07,1/25/2023 17:08,0:59:57,,,1:28:01,28.02,0,,,,,,5/5/2023,,99.34,,,Shot on the 5/5/23,,,,,,,,,,,,
AB68,Manual,,NSW,marimley,-34.421912,143.730368,3/18/2021,na,f,,,,4,,,,,,2.70,,,,,,,-,,40.2,Y,,,,0:02:15,0:17:15,15:00,900.00,,,,,0:17:15,17.25,1,"bloody nose, but no visible skin break, very fat neck",11,,6/26/2021 5:01,,6/27/2021 0:00,,100.65,,dead_shothunter,NA,,,,,,,,,,,,
DM13,Pole syringe,NTLLS FMD Collared Pig 3,NSW,Kahmoo,-29.551582,151.240487,1/25/2023,20,f,Non Lactating ,42.20,,45415,Moderate ,Zoletil,2.00,4.74,,,,,,,Rump,03:00,,Good,40.2,Y,Normal,Normal,,1/25/2023 7:06,1/25/2023 7:23,17:14,17.23,1/25/2023 8:11,0:48:01,,,1:08:15,8.25,0,,,,,,5/7/2023,,101.70,,Shot,Aerial shot on the 7/5/23,,,,,,,,,,,,
AB23,Manual,,NSW,nimmie,-34.5159647,144.034904,3/17/2021,na,f,,,,4,,,,,,2.07,,,,,,,-,,37.7,N,,,,0:02:04,0:06:46,04:42,282.00,,,,,0:06:46,6.77,0,,4,,6/29/2021 9:00,,6/30/2021 0:00,,104.57,,dead_unknown,NA,,,,,,,,,,,,
DM12,Pole syringe,NTLLS FMD Collared Pig 2,NSW,Pindaroi station ,-29.510142,151.274712,1/17/2023,31,m,-None Selected-,75.80,,45416,Moderate ,Zoletil,2.00,2.64,,,,,,,Rump,06:00,,Good,39.6,N,Normal,Normal,,1/17/2023 16:51,1/17/2023 17:11,19:37,19.62,1/17/2023 17:32,0:21:33,,,0:47:10,47.17,,,,,,,5/4/2023,,106.30,,,Shot on the 4th of May in aerial shoot. Weight was 89kg ,,,,,,,,,,,,
AB75,Manual,,NSW,napnap,-34.499612,144.21579,3/17/2021,na,m,,,,3,,,,,,1.59,,,,,,,-,,41,Y,,,,0:01:45,0:15:53,14:08,848.00,,,,,0:15:53,15.88,0,,6,,,,8/6/2021 0:00,,141.68,,unknown,NA,,,,,,,,,,,,
AB32,Manual,,NSW,willowtree,-31.800267,150.51079,12/19/2022,13,f,,,,3,,,,,,5.36,,,,,,,-,,38.3,N,,,,0:16:12,0:18:57,02:45,165.00,,,,,0:18:57,18.95,0,,5,,5/18/2023 9:01,,5/19/2023 0:00,,150.74,,dead_shotlandholder,NA,,,,,,,,,,,,
AB17,Manual,,NSW,willowtree,-31.822863,150.503893,11/30/2022,15.6,m,,,,3,,,,,,2.85,,,,,,,-,,37.3,N,,,,0:12:46,0:16:57,04:11,251.00,,,,,0:16:57,16.95,0,,5,,5/2/2023 10:00,,5/3/2023 0:16,,153.72,153.72,unknown_collarslip,NA,,,,,,,,,,,,
DM45,Pole syringe,Eastern Collared Pig 58,NSW,Starlight river trap. Guy fawkes ,-29.94119,152.173477,9/7/2022,11,m,-None Selected-,79.00,,45417,Moderate ,Zoletil,2.20,2.78,,,,,,,Rump,04:00,,Good,39,N,Normal,Normal,,9/7/2022 14:55,9/7/2022 15:36,41:08,41.13,9/7/2022 15:57,0:21:14,,,1:06:22,6.37,0,,,,,,3/25/2023,,198.34,,Unknown,Died 25/3/23,,,,,,,,,,,,
AB05,Manual,,NSW,willowtree,-31.786464,150.520252,12/2/2022,14.8,m,,,,3,,,,,,2.22,,,,,,,-,,35.9,N,,,,NA,0:08:40,NA,NA,,,,,0:08:40,8.67,1,NA,1,,6/22/2023 21:00,,6/22/2023 21:00,,202.62,,dead_shotlandholder,NA,,,,,,,,,,,,
AB60,Manual,,NSW,nimmie,-34.526294,144.024585,3/16/2021,na,f,,,,4,,,,,,2.00,,,,,,,-,,39.7,N,,,,0:04:00,0:16:00,12:00,720.00,,,,,0:16:00,16.00,0,,5,,10/8/2021 10:00,,10/9/2021 0:00,,206.58,,dead_unknown,NA,,,,,,,,,,,,
AB61,Manual,,NSW,booligal,-33.813824,144.73832,10/21/2021,19.5,f,,,,3,,,,,,#DIV/0!,,,,,,,-,,39.8,N,,,,0:13:45,0:17:50,04:05,245.00,,,,,0:17:50,17.83,0,,8,,5/23/2022 0:00,,5/23/2022 15:00,,214.24,,dead_unknown,NA,,,,,,,,,,,,
DM46,Pole syringe,Eastern Collared Pig 59,NSW,Tom Williamson ,-29.871144,152.040952,9/8/2022,16,f,Pregnant ,46.40,,45416,Moderate ,Zoletil,2.00,4.31,,,,,,,Neck,03:00,,Good,37.3,N,Normal,Normal,,9/8/2022 12:10,9/8/2022 12:31,21:07,21.12,9/8/2022 13:17,0:46:08,,,1:10:15,10.25,0,,,,,,4/16/2023,,219.49,,Unknown,Died on the 16/4/23,,,,,,,,,,,,
